id	label	三层ACC	三层预测	三层相似概率	三层不相似概率	六层ACC	六层预测	六层相似概率	六层不相似概率	A句	B句
1	sim	1	sim	0.99969447	0.0003055574	1	sim	0.99990714	0.000092893	ATM机可以使用存折吗	ATM机可以使用存折吗？
2	sim	1	sim	0.99991035	8.964769E-05	1	sim	0.9999604	0.000039611	ATM机可以使用存折吗	存折ATM机也能办吗
3	sim	1	sim	0.9999006	9.942218E-05	1	sim	0.9999418	5.821677E-05	ATM机可以使用存折吗	存折可以在ATM机上用吗
4	sim	1	sim	0.9997311	0.0002688499	1	sim	0.999923	7.703569E-05	ATM机可以使用存折吗	ATM机可以用存折吗
5	sim	1	sim	0.99992466	7.530448E-05	1	sim	0.99991024	8.980916E-05	ATM机可以使用存折吗	ATM机上使用存折可以吗
6	sim	1	sim	0.9999466	5.3376574E-05	1	sim	0.9999548	0.000045218	ATM机可以使用存折吗	存折能在ATM机上使用吗
7	sim	1	sim	0.9866594	0.013340631	1	sim	0.998869	0.0011310064	ATM机可以使用存折吗	存折能在自助设备用吗
8	sim	1	sim	0.9989078	0.0010922411	1	sim	0.99993384	6.613522E-05	ATM机可以使用存折吗	存折可以在自动存取款机上用吗
9	sim	1	sim	0.9999827	1.730479E-05	1	sim	0.9999758	2.422338E-05	ETC卡有什么优惠	介绍一下ETC卡的优惠
10	sim	1	sim	0.9999771	2.2881264E-05	1	sim	0.9999753	2.4624876E-05	ETC卡有什么优惠	最近ETC卡有优惠吗
11	sim	1	sim	0.9953434	0.0046566147	1	sim	0.9904681	0.009531898	ETC卡有什么优惠	ETC最近有活动吗
12	sim	1	sim	0.99996066	3.937858E-05	1	sim	0.99995995	4.004971E-05	ETC卡有什么优惠	ETC最近有优惠吗
13	sim	1	sim	0.99064344	0.009356534	1	sim	0.99824214	0.001757858	ETC卡有什么优惠	ETC有其他活动吗
14	sim	1	sim	0.99963427	0.0003656824	1	sim	0.9996202	0.0003797422	不会操作怎么办	那我不会操作怎么办
15	sim	1	sim	0.99993706	6.298132E-05	1	sim	0.99993956	6.0389903E-05	不同级别银行卡转账有什么区别	银行卡级别转账区别
16	sim	0	notsim	0.0030667477	0.9969332	0	notsim	0.0004168497	0.9995832	个人办理银行卡有上限吗	我可以办几张银行卡
17	sim	0	notsim	0.48531988	0.5146801	0	notsim	0.03700475	0.96299523	个人办理银行卡有上限吗	银行卡一个人可以办几张
18	sim	0	notsim	0.18772832	0.8122717	0	notsim	0.05498593	0.94501406	个人办理银行卡有上限吗	一个人能办几张银行卡
19	sim	0	notsim	0.34112278	0.6588772	0	notsim	0.047954567	0.9520455	个人办理银行卡有上限吗	银行卡一个人能办几张
20	sim	1	sim	0.7333871	0.26661292	0	notsim	0.14494082	0.8550592	个人办理银行卡有上限吗	银行卡一个人可以办理几张
21	sim	0	notsim	0.47250858	0.52749145	0	notsim	0.01254593	0.98745406	个人办理银行卡有上限吗	一个人银行卡能办理几张
22	sim	0	notsim	0.0014496247	0.99855036	0	notsim	0.0006567307	0.9993432	个人办理银行卡有上限吗	我可以办理几张银行卡
